"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"45266",2015,"WI","Combined Heat and Power, Commercial Power","Total",106339
"45267",2015,"WI","Combined Heat and Power, Commercial Power","Coal",0
"45268",2015,"WI","Combined Heat and Power, Commercial Power","Natural Gas",70444
"45269",2015,"WI","Combined Heat and Power, Commercial Power","Petroleum",26
"45271",2015,"WI","Combined Heat and Power, Commercial Power","Wood",0
"45272",2015,"WI","Combined Heat and Power, Electric Power","Total",730927
"45273",2015,"WI","Combined Heat and Power, Electric Power","Natural Gas",619093
"45274",2015,"WI","Combined Heat and Power, Electric Power","Petroleum",3281
"45276",2015,"WI","Electric Generators, Independent Power Producers","Total",11332971
"45277",2015,"WI","Electric Generators, Independent Power Producers","Coal",0
"45278",2015,"WI","Electric Generators, Independent Power Producers","Hydro",103287
"45279",2015,"WI","Electric Generators, Independent Power Producers","Natural Gas",142682
"45280",2015,"WI","Electric Generators, Independent Power Producers","Nuclear",10008183
"45281",2015,"WI","Electric Generators, Independent Power Producers","Petroleum",53
"45282",2015,"WI","Electric Generators, Independent Power Producers","Solar",1417
"45284",2015,"WI","Electric Generators, Independent Power Producers","Wind",530708
"45285",2015,"WI","Electric Generators, Independent Power Producers","Wood",167416
"45286",2015,"WI","Electric Generators, Electric Utilities","Total",52388626
"45287",2015,"WI","Electric Generators, Electric Utilities","Coal",36498780
"45288",2015,"WI","Electric Generators, Electric Utilities","Hydro",2074368
"45289",2015,"WI","Electric Generators, Electric Utilities","Natural Gas",12342490
"45291",2015,"WI","Electric Generators, Electric Utilities","Petroleum",91112
"45293",2015,"WI","Electric Generators, Electric Utilities","Wind",1051217
"45294",2015,"WI","Electric Generators, Electric Utilities","Wood",283354
"45295",2015,"WV","Total Electric Power Industry","Total",72295269
"45296",2015,"WV","Total Electric Power Industry","Coal",68056093
"45297",2015,"WV","Total Electric Power Industry","Hydro",1385043
"45298",2015,"WV","Total Electric Power Industry","Natural Gas",1303630
"45301",2015,"WV","Total Electric Power Industry","Petroleum",140214
"45303",2015,"WV","Total Electric Power Industry","Wind",1376232
"45304",2015,"WV","Combined Heat and Power, Industrial Power","Total",1121474
"45305",2015,"WV","Combined Heat and Power, Industrial Power","Coal",539688
"45306",2015,"WV","Combined Heat and Power, Industrial Power","Hydro",552703
"45307",2015,"WV","Combined Heat and Power, Industrial Power","Natural Gas",6
"45309",2015,"WV","Combined Heat and Power, Electric Power","Total",405911
"45310",2015,"WV","Combined Heat and Power, Electric Power","Coal",405548
"45311",2015,"WV","Combined Heat and Power, Electric Power","Natural Gas",363
"45312",2015,"WV","Electric Generators, Independent Power Producers","Total",13725382
"45313",2015,"WV","Electric Generators, Independent Power Producers","Coal",10800870
"45314",2015,"WV","Electric Generators, Independent Power Producers","Hydro",344965
"45315",2015,"WV","Electric Generators, Independent Power Producers","Natural Gas",1184654
"45317",2015,"WV","Electric Generators, Independent Power Producers","Petroleum",13681
"45319",2015,"WV","Electric Generators, Independent Power Producers","Wind",1376232
"45320",2015,"WV","Electric Generators, Electric Utilities","Total",57042502
"45321",2015,"WV","Electric Generators, Electric Utilities","Coal",56309986
"45322",2015,"WV","Electric Generators, Electric Utilities","Hydro",487375
"45323",2015,"WV","Electric Generators, Electric Utilities","Natural Gas",118608
"45325",2015,"WV","Electric Generators, Electric Utilities","Petroleum",126533
"45326",2015,"WY","Total Electric Power Industry","Total",48966519
"45327",2015,"WY","Total Electric Power Industry","Coal",43091189
"45328",2015,"WY","Total Electric Power Industry","Hydro",868261
"45329",2015,"WY","Total Electric Power Industry","Natural Gas",722304
"45332",2015,"WY","Total Electric Power Industry","Petroleum",44898
"45333",2015,"WY","Total Electric Power Industry","Wind",3756708
"45334",2015,"WY","Combined Heat and Power, Industrial Power","Total",1485541
"45335",2015,"WY","Combined Heat and Power, Industrial Power","Coal",419827
"45336",2015,"WY","Combined Heat and Power, Industrial Power","Natural Gas",582192
"45339",2015,"WY","Combined Heat and Power, Industrial Power","Petroleum",364
"45340",2015,"WY","Electric Generators, Independent Power Producers","Total",2693131
"45341",2015,"WY","Electric Generators, Independent Power Producers","Coal",733913
"45342",2015,"WY","Electric Generators, Independent Power Producers","Hydro",9908
"45343",2015,"WY","Electric Generators, Independent Power Producers","Natural Gas",640
"45344",2015,"WY","Electric Generators, Independent Power Producers","Wind",1948670
"45345",2015,"WY","Electric Generators, Electric Utilities","Total",44787847
"45346",2015,"WY","Electric Generators, Electric Utilities","Coal",41937449
"45347",2015,"WY","Electric Generators, Electric Utilities","Hydro",858353
"45348",2015,"WY","Electric Generators, Electric Utilities","Natural Gas",139473
"45349",2015,"WY","Electric Generators, Electric Utilities","Petroleum",44535
"45350",2015,"WY","Electric Generators, Electric Utilities","Wind",1808038
"45351",2016,"AK","Total Electric Power Industry","Total",6335034
"45352",2016,"AK","Total Electric Power Industry","Coal",594139
"45353",2016,"AK","Total Electric Power Industry","Hydro",1659152
"45354",2016,"AK","Total Electric Power Industry","Natural Gas",3040487
"45356",2016,"AK","Total Electric Power Industry","Petroleum",831330
"45358",2016,"AK","Total Electric Power Industry","Wind",169301
"45359",2016,"AK","Total Electric Power Industry","Wood",0
"45360",2016,"AK","Combined Heat and Power, Industrial Power","Total",111473
"45361",2016,"AK","Combined Heat and Power, Industrial Power","Natural Gas",62679
"45362",2016,"AK","Combined Heat and Power, Industrial Power","Petroleum",48292
"45364",2016,"AK","Combined Heat and Power, Commercial Power","Total",321729
"45365",2016,"AK","Combined Heat and Power, Commercial Power","Coal",107009
"45366",2016,"AK","Combined Heat and Power, Commercial Power","Hydro",168147
"45367",2016,"AK","Combined Heat and Power, Commercial Power","Natural Gas",1131
"45368",2016,"AK","Combined Heat and Power, Commercial Power","Petroleum",2927
"45370",2016,"AK","Combined Heat and Power, Commercial Power","Wood",0
"45371",2016,"AK","Combined Heat and Power, Electric Power","Total",191982
"45372",2016,"AK","Combined Heat and Power, Electric Power","Coal",191982
"45373",2016,"AK","Combined Heat and Power, Electric Power","Petroleum",0
"45375",2016,"AK","Combined Heat and Power, Electric Power","Wood",0
"45376",2016,"AK","Electric Generators, Independent Power Producers","Total",60468
"45377",2016,"AK","Electric Generators, Independent Power Producers","Wind",60468
"45378",2016,"AK","Electric Generators, Electric Utilities","Total",5649381
"45379",2016,"AK","Electric Generators, Electric Utilities","Coal",295148
"45380",2016,"AK","Electric Generators, Electric Utilities","Hydro",1491005
"45381",2016,"AK","Electric Generators, Electric Utilities","Natural Gas",2976677
"45383",2016,"AK","Electric Generators, Electric Utilities","Petroleum",780110
"45384",2016,"AK","Electric Generators, Electric Utilities","Wind",108833
"45385",2016,"AL","Total Electric Power Industry","Total",142385098
"45386",2016,"AL","Total Electric Power Industry","Coal",34258406
"45387",2016,"AL","Total Electric Power Industry","Hydro",6984803
"45388",2016,"AL","Total Electric Power Industry","Natural Gas",57803618
"45389",2016,"AL","Total Electric Power Industry","Nuclear",39901879
"45392",2016,"AL","Total Electric Power Industry","Petroleum",45832
"45393",2016,"AL","Total Electric Power Industry","Solar",31261
"45395",2016,"AL","Total Electric Power Industry","Wood",3297136
"45396",2016,"AL","Combined Heat and Power, Industrial Power","Total",4255021
"45397",2016,"AL","Combined Heat and Power, Industrial Power","Coal",72290
"45398",2016,"AL","Combined Heat and Power, Industrial Power","Natural Gas",1073389
"45401",2016,"AL","Combined Heat and Power, Industrial Power","Petroleum",14683
"45403",2016,"AL","Combined Heat and Power, Industrial Power","Wood",3070606
"45404",2016,"AL","Combined Heat and Power, Electric Power","Total",4506703
"45405",2016,"AL","Combined Heat and Power, Electric Power","Coal",0
"45406",2016,"AL","Combined Heat and Power, Electric Power","Natural Gas",4280173
"45407",2016,"AL","Combined Heat and Power, Electric Power","Wood",226530
"45408",2016,"AL","Electric Generators, Independent Power Producers","Total",35632171
"45409",2016,"AL","Electric Generators, Independent Power Producers","Natural Gas",35557410
"45410",2016,"AL","Electric Generators, Independent Power Producers","Petroleum",5390
"45411",2016,"AL","Electric Generators, Independent Power Producers","Solar",31261
"45413",2016,"AL","Electric Generators, Electric Utilities","Total",97991203
"45414",2016,"AL","Electric Generators, Electric Utilities","Coal",34186115
"45415",2016,"AL","Electric Generators, Electric Utilities","Hydro",6984803
"45416",2016,"AL","Electric Generators, Electric Utilities","Natural Gas",16892646
"45417",2016,"AL","Electric Generators, Electric Utilities","Nuclear",39901879
"45418",2016,"AL","Electric Generators, Electric Utilities","Petroleum",25760
"45419",2016,"AL","Electric Generators, Electric Utilities","Wood",0
"45420",2016,"AR","Total Electric Power Industry","Total",60445059
"45421",2016,"AR","Total Electric Power Industry","Coal",23800070
"45423",2016,"AR","Total Electric Power Industry","Hydro",3569986
"45424",2016,"AR","Total Electric Power Industry","Natural Gas",18171187
"45425",2016,"AR","Total Electric Power Industry","Nuclear",13421022
"45427",2016,"AR","Total Electric Power Industry","Petroleum",42363
"45428",2016,"AR","Total Electric Power Industry","Solar",26142
"45430",2016,"AR","Total Electric Power Industry","Wood",1257121
"45431",2016,"AR","Combined Heat and Power, Industrial Power","Total",1594982
"45432",2016,"AR","Combined Heat and Power, Industrial Power","Coal",49895
"45433",2016,"AR","Combined Heat and Power, Industrial Power","Natural Gas",278974
"45435",2016,"AR","Combined Heat and Power, Industrial Power","Petroleum",3355
"45436",2016,"AR","Combined Heat and Power, Industrial Power","Wood",1257121
"45437",2016,"AR","Combined Heat and Power, Commercial Power","Total",43313
"45438",2016,"AR","Combined Heat and Power, Commercial Power","Natural Gas",38682
"45440",2016,"AR","Combined Heat and Power, Electric Power","Total",1256411
"45441",2016,"AR","Combined Heat and Power, Electric Power","Natural Gas",1212971
"45442",2016,"AR","Combined Heat and Power, Electric Power","Petroleum",0
"45444",2016,"AR","Electric Generators, Independent Power Producers","Total",14198248
"45445",2016,"AR","Electric Generators, Independent Power Producers","Coal",4596002
"45446",2016,"AR","Electric Generators, Independent Power Producers","Hydro",44305
"45447",2016,"AR","Electric Generators, Independent Power Producers","Natural Gas",9459445
"45448",2016,"AR","Electric Generators, Independent Power Producers","Petroleum",9318
"45449",2016,"AR","Electric Generators, Independent Power Producers","Solar",24542
"45451",2016,"AR","Electric Generators, Electric Utilities","Total",43352105
"45452",2016,"AR","Electric Generators, Electric Utilities","Coal",19154174
"45454",2016,"AR","Electric Generators, Electric Utilities","Hydro",3525681
"45455",2016,"AR","Electric Generators, Electric Utilities","Natural Gas",7181115
"45456",2016,"AR","Electric Generators, Electric Utilities","Nuclear",13421022
"45457",2016,"AR","Electric Generators, Electric Utilities","Petroleum",29689
"45458",2016,"AR","Electric Generators, Electric Utilities","Solar",1600
"45459",2016,"AZ","Total Electric Power Industry","Total",108763449
"45460",2016,"AZ","Total Electric Power Industry","Coal",30403392
"45462",2016,"AZ","Total Electric Power Industry","Hydro",7167763
"45463",2016,"AZ","Total Electric Power Industry","Natural Gas",34182808
"45464",2016,"AZ","Total Electric Power Industry","Nuclear",32377477
"45465",2016,"AZ","Total Electric Power Industry","Petroleum",51595
"45466",2016,"AZ","Total Electric Power Industry","Solar",3765825
"45468",2016,"AZ","Total Electric Power Industry","Wind",541582
"45469",2016,"AZ","Total Electric Power Industry","Wood",176136
"45470",2016,"AZ","Combined Heat and Power, Commercial Power","Total",165193
"45471",2016,"AZ","Combined Heat and Power, Commercial Power","Natural Gas",141364
"45472",2016,"AZ","Combined Heat and Power, Commercial Power","Petroleum",27
"45473",2016,"AZ","Combined Heat and Power, Commercial Power","Solar",23802
"45474",2016,"AZ","Combined Heat and Power, Electric Power","Total",11206
"45475",2016,"AZ","Combined Heat and Power, Electric Power","Natural Gas",11206
"45476",2016,"AZ","Combined Heat and Power, Electric Power","Petroleum",0
"45477",2016,"AZ","Electric Generators, Independent Power Producers","Total",18765113
"45478",2016,"AZ","Electric Generators, Independent Power Producers","Natural Gas",14764618
"45479",2016,"AZ","Electric Generators, Independent Power Producers","Solar",3244535
"45481",2016,"AZ","Electric Generators, Independent Power Producers","Wind",541582
"45482",2016,"AZ","Electric Generators, Independent Power Producers","Wood",176136
"45483",2016,"AZ","Electric Generators, Electric Utilities","Total",89821938
"45484",2016,"AZ","Electric Generators, Electric Utilities","Coal",30403392
"45486",2016,"AZ","Electric Generators, Electric Utilities","Hydro",7167763
"45487",2016,"AZ","Electric Generators, Electric Utilities","Natural Gas",19265620
"45488",2016,"AZ","Electric Generators, Electric Utilities","Nuclear",32377477
"45489",2016,"AZ","Electric Generators, Electric Utilities","Petroleum",51568
"45490",2016,"AZ","Electric Generators, Electric Utilities","Solar",497488
"45492",2016,"CA","Total Electric Power Industry","Total",196963215
"45493",2016,"CA","Total Electric Power Industry","Coal",318876
"45494",2016,"CA","Total Electric Power Industry","Geothermal",11457299
"45496",2016,"CA","Total Electric Power Industry","Hydro",28942121
"45497",2016,"CA","Total Electric Power Industry","Natural Gas",97073664
"45498",2016,"CA","Total Electric Power Industry","Nuclear",18907578
"45501",2016,"CA","Total Electric Power Industry","Petroleum",175581
"45502",2016,"CA","Total Electric Power Industry","Solar",18806711
"45504",2016,"CA","Total Electric Power Industry","Wind",13509039
"45505",2016,"CA","Total Electric Power Industry","Wood",3029285
"45506",2016,"CA","Combined Heat and Power, Industrial Power","Total",13701715
"45507",2016,"CA","Combined Heat and Power, Industrial Power","Coal",318876
"45508",2016,"CA","Combined Heat and Power, Industrial Power","Natural Gas",10731340
"45511",2016,"CA","Combined Heat and Power, Industrial Power","Petroleum",135086
"45512",2016,"CA","Combined Heat and Power, Industrial Power","Solar",8338
"45514",2016,"CA","Combined Heat and Power, Industrial Power","Wind",5361
"45515",2016,"CA","Combined Heat and Power, Industrial Power","Wood",584995
"45516",2016,"CA","Combined Heat and Power, Commercial Power","Total",2858960
"45518",2016,"CA","Combined Heat and Power, Commercial Power","Hydro",12256
"45519",2016,"CA","Combined Heat and Power, Commercial Power","Natural Gas",1865916
"45521",2016,"CA","Combined Heat and Power, Commercial Power","Petroleum",408
"45522",2016,"CA","Combined Heat and Power, Commercial Power","Solar",121358
"45524",2016,"CA","Combined Heat and Power, Commercial Power","Wind",6123
"45525",2016,"CA","Combined Heat and Power, Electric Power","Total",16664260
"45526",2016,"CA","Combined Heat and Power, Electric Power","Coal",0
"45527",2016,"CA","Combined Heat and Power, Electric Power","Natural Gas",15616091
"45529",2016,"CA","Combined Heat and Power, Electric Power","Petroleum",0
"45530",2016,"CA","Combined Heat and Power, Electric Power","Solar",2320
"45532",2016,"CA","Combined Heat and Power, Electric Power","Wood",798981
"45533",2016,"CA","Electric Generators, Independent Power Producers","Total",82582662
"45534",2016,"CA","Electric Generators, Independent Power Producers","Geothermal",10638281
"45535",2016,"CA","Electric Generators, Independent Power Producers","Hydro",1627061
"45536",2016,"CA","Electric Generators, Independent Power Producers","Natural Gas",35905155
"45538",2016,"CA","Electric Generators, Independent Power Producers","Petroleum",7108
"45539",2016,"CA","Electric Generators, Independent Power Producers","Solar",18206698
"45541",2016,"CA","Electric Generators, Independent Power Producers","Wind",12793594
"45542",2016,"CA","Electric Generators, Independent Power Producers","Wood",1645309
"45543",2016,"CA","Electric Generators, Electric Utilities","Total",81155619
"45544",2016,"CA","Electric Generators, Electric Utilities","Geothermal",819018
"45546",2016,"CA","Electric Generators, Electric Utilities","Hydro",27302804
"45547",2016,"CA","Electric Generators, Electric Utilities","Natural Gas",32955162
"45548",2016,"CA","Electric Generators, Electric Utilities","Nuclear",18907578
"45551",2016,"CA","Electric Generators, Electric Utilities","Petroleum",32979
"45552",2016,"CA","Electric Generators, Electric Utilities","Solar",467998
"45554",2016,"CA","Electric Generators, Electric Utilities","Wind",703961
"45555",2016,"CO","Total Electric Power Industry","Total",54418480
"45556",2016,"CO","Total Electric Power Industry","Coal",29948675
"45558",2016,"CO","Total Electric Power Industry","Hydro",1902571
"45559",2016,"CO","Total Electric Power Industry","Natural Gas",12679439
"45561",2016,"CO","Total Electric Power Industry","Petroleum",6975
"45562",2016,"CO","Total Electric Power Industry","Solar",538109
"45564",2016,"CO","Total Electric Power Industry","Wind",9421204
"45565",2016,"CO","Total Electric Power Industry","Wood",85822
"45566",2016,"CO","Combined Heat and Power, Industrial Power","Total",72632
"45567",2016,"CO","Combined Heat and Power, Industrial Power","Coal",7758
"45568",2016,"CO","Combined Heat and Power, Industrial Power","Natural Gas",19520
"45570",2016,"CO","Combined Heat and Power, Industrial Power","Petroleum",15
"45571",2016,"CO","Combined Heat and Power, Industrial Power","Wind",3378
"45572",2016,"CO","Combined Heat and Power, Commercial Power","Total",31044
"45573",2016,"CO","Combined Heat and Power, Commercial Power","Hydro",11824
"45574",2016,"CO","Combined Heat and Power, Commercial Power","Natural Gas",2067
"45575",2016,"CO","Combined Heat and Power, Commercial Power","Petroleum",0
"45576",2016,"CO","Combined Heat and Power, Commercial Power","Solar",15976
"45577",2016,"CO","Combined Heat and Power, Commercial Power","Wind",1177
"45578",2016,"CO","Combined Heat and Power, Electric Power","Total",203833
"45579",2016,"CO","Combined Heat and Power, Electric Power","Coal",21393
"45580",2016,"CO","Combined Heat and Power, Electric Power","Natural Gas",152019
"45581",2016,"CO","Combined Heat and Power, Electric Power","Petroleum",0
"45583",2016,"CO","Electric Generators, Independent Power Producers","Total",11919633
"45584",2016,"CO","Electric Generators, Independent Power Producers","Hydro",202683
"45585",2016,"CO","Electric Generators, Independent Power Producers","Natural Gas",1773507
"45587",2016,"CO","Electric Generators, Independent Power Producers","Petroleum",0
"45588",2016,"CO","Electric Generators, Independent Power Producers","Solar",522133
"45590",2016,"CO","Electric Generators, Independent Power Producers","Wind",9277999
"45591",2016,"CO","Electric Generators, Independent Power Producers","Wood",85822
"45592",2016,"CO","Electric Generators, Electric Utilities","Total",42191338
"45593",2016,"CO","Electric Generators, Electric Utilities","Coal",29919524
"45595",2016,"CO","Electric Generators, Electric Utilities","Hydro",1688064
"45596",2016,"CO","Electric Generators, Electric Utilities","Natural Gas",10732326
"45597",2016,"CO","Electric Generators, Electric Utilities","Petroleum",6960
"45598",2016,"CO","Electric Generators, Electric Utilities","Wind",138650
"45599",2016,"CO","Electric Generators, Electric Utilities","Wood",0
"45600",2016,"CT","Total Electric Power Industry","Total",36496560
"45601",2016,"CT","Total Electric Power Industry","Coal",177370
"45603",2016,"CT","Total Electric Power Industry","Hydro",224145
"45604",2016,"CT","Total Electric Power Industry","Natural Gas",17951503
"45605",2016,"CT","Total Electric Power Industry","Nuclear",16575492
"45607",2016,"CT","Total Electric Power Industry","Petroleum",91735
"45608",2016,"CT","Total Electric Power Industry","Solar",24518
"45610",2016,"CT","Total Electric Power Industry","Wind",12742
"45611",2016,"CT","Total Electric Power Industry","Wood",237232
"45612",2016,"CT","Combined Heat and Power, Industrial Power","Total",501698
"45613",2016,"CT","Combined Heat and Power, Industrial Power","Natural Gas",499709
"45614",2016,"CT","Combined Heat and Power, Industrial Power","Petroleum",1990
"45615",2016,"CT","Combined Heat and Power, Commercial Power","Total",409492
"45616",2016,"CT","Combined Heat and Power, Commercial Power","Natural Gas",406906
"45617",2016,"CT","Combined Heat and Power, Commercial Power","Petroleum",2586
"45618",2016,"CT","Combined Heat and Power, Electric Power","Total",254862
"45619",2016,"CT","Combined Heat and Power, Electric Power","Natural Gas",253669
"45620",2016,"CT","Combined Heat and Power, Electric Power","Petroleum",1193
"45621",2016,"CT","Electric Generators, Independent Power Producers","Total",35256433
"45622",2016,"CT","Electric Generators, Independent Power Producers","Coal",177370
"45624",2016,"CT","Electric Generators, Independent Power Producers","Hydro",207353
"45625",2016,"CT","Electric Generators, Independent Power Producers","Natural Gas",16742791
"45626",2016,"CT","Electric Generators, Independent Power Producers","Nuclear",16575492
"45628",2016,"CT","Electric Generators, Independent Power Producers","Petroleum",79681
"45629",2016,"CT","Electric Generators, Independent Power Producers","Solar",21949
"45631",2016,"CT","Electric Generators, Independent Power Producers","Wind",12742
"45632",2016,"CT","Electric Generators, Independent Power Producers","Wood",237232
"45633",2016,"CT","Electric Generators, Electric Utilities","Total",74075
"45634",2016,"CT","Electric Generators, Electric Utilities","Hydro",16792
"45635",2016,"CT","Electric Generators, Electric Utilities","Natural Gas",48429
"45636",2016,"CT","Electric Generators, Electric Utilities","Petroleum",6285
"45637",2016,"CT","Electric Generators, Electric Utilities","Solar",2569
"45639",2016,"DC","Total Electric Power Industry","Total",76474
"45640",2016,"DC","Total Electric Power Industry","Natural Gas",22702
"45641",2016,"DC","Total Electric Power Industry","Petroleum",1001
"45643",2016,"DC","Combined Heat and Power, Commercial Power","Total",23673
"45644",2016,"DC","Combined Heat and Power, Commercial Power","Natural Gas",22672
"45645",2016,"DC","Combined Heat and Power, Commercial Power","Petroleum",1001
"45646",2016,"DC","Combined Heat and Power, Electric Power","Total",52801
"45647",2016,"DC","Combined Heat and Power, Electric Power","Natural Gas",30
"45649",2016,"DE","Total Electric Power Industry","Total",8731261
"45650",2016,"DE","Total Electric Power Industry","Coal",479350
"45651",2016,"DE","Total Electric Power Industry","Natural Gas",7787469
"45653",2016,"DE","Total Electric Power Industry","Petroleum",62571
"45654",2016,"DE","Total Electric Power Industry","Solar",51086
"45656",2016,"DE","Total Electric Power Industry","Wind",5321
"45657",2016,"DE","Combined Heat and Power, Industrial Power","Total",1288800
"45658",2016,"DE","Combined Heat and Power, Industrial Power","Natural Gas",995092
"45660",2016,"DE","Combined Heat and Power, Industrial Power","Petroleum",0
"45662",2016,"DE","Combined Heat and Power, Commercial Power","Total",6653
"45663",2016,"DE","Combined Heat and Power, Commercial Power","Solar",1332
"45664",2016,"DE","Combined Heat and Power, Commercial Power","Wind",5321
"45665",2016,"DE","Combined Heat and Power, Electric Power","Total",235334
"45666",2016,"DE","Combined Heat and Power, Electric Power","Coal",0
"45667",2016,"DE","Combined Heat and Power, Electric Power","Natural Gas",230283
"45668",2016,"DE","Combined Heat and Power, Electric Power","Petroleum",5051
"45669",2016,"DE","Electric Generators, Independent Power Producers","Total",7120386
"45670",2016,"DE","Electric Generators, Independent Power Producers","Coal",479350
"45671",2016,"DE","Electric Generators, Independent Power Producers","Natural Gas",6497830
"45672",2016,"DE","Electric Generators, Independent Power Producers","Petroleum",48876
"45673",2016,"DE","Electric Generators, Independent Power Producers","Solar",42574
"45675",2016,"DE","Electric Generators, Electric Utilities","Total",80088
"45676",2016,"DE","Electric Generators, Electric Utilities","Natural Gas",64264
"45677",2016,"DE","Electric Generators, Electric Utilities","Petroleum",8644
"45678",2016,"DE","Electric Generators, Electric Utilities","Solar",7180
"45679",2016,"FL","Total Electric Power Industry","Total",238262150
"45680",2016,"FL","Total Electric Power Industry","Coal",39429468
"45681",2016,"FL","Total Electric Power Industry","Hydro",174551
"45682",2016,"FL","Total Electric Power Industry","Natural Gas",158495445
"45683",2016,"FL","Total Electric Power Industry","Nuclear",29320022
"45686",2016,"FL","Total Electric Power Industry","Petroleum",2820303
"45687",2016,"FL","Total Electric Power Industry","Solar",223983
"45689",2016,"FL","Total Electric Power Industry","Wood",1971856
"45690",2016,"FL","Combined Heat and Power, Industrial Power","Total",5358371
"45691",2016,"FL","Combined Heat and Power, Industrial Power","Coal",174842
"45692",2016,"FL","Combined Heat and Power, Industrial Power","Natural Gas",1450005
"45695",2016,"FL","Combined Heat and Power, Industrial Power","Petroleum",25536
"45697",2016,"FL","Combined Heat and Power, Industrial Power","Wood",1666832
"45698",2016,"FL","Combined Heat and Power, Commercial Power","Total",84478
"45699",2016,"FL","Combined Heat and Power, Commercial Power","Natural Gas",33444
"45700",2016,"FL","Combined Heat and Power, Commercial Power","Petroleum",0
"45701",2016,"FL","Combined Heat and Power, Commercial Power","Solar",3315
"45703",2016,"FL","Combined Heat and Power, Electric Power","Total",4452653
"45704",2016,"FL","Combined Heat and Power, Electric Power","Coal",732653
"45705",2016,"FL","Combined Heat and Power, Electric Power","Natural Gas",3593508
"45706",2016,"FL","Combined Heat and Power, Electric Power","Petroleum",2936
"45708",2016,"FL","Combined Heat and Power, Electric Power","Wood",11911
"45709",2016,"FL","Electric Generators, Independent Power Producers","Total",12123015
"45710",2016,"FL","Electric Generators, Independent Power Producers","Coal",0
"45711",2016,"FL","Electric Generators, Independent Power Producers","Natural Gas",8226306
"45713",2016,"FL","Electric Generators, Independent Power Producers","Petroleum",3973
"45714",2016,"FL","Electric Generators, Independent Power Producers","Solar",61207
"45716",2016,"FL","Electric Generators, Independent Power Producers","Wood",293113
"45717",2016,"FL","Electric Generators, Electric Utilities","Total",216243634
"45718",2016,"FL","Electric Generators, Electric Utilities","Coal",38521973
"45719",2016,"FL","Electric Generators, Electric Utilities","Hydro",174551
"45720",2016,"FL","Electric Generators, Electric Utilities","Natural Gas",145192182
"45721",2016,"FL","Electric Generators, Electric Utilities","Nuclear",29320022
"45722",2016,"FL","Electric Generators, Electric Utilities","Petroleum",2787858
"45723",2016,"FL","Electric Generators, Electric Utilities","Solar",159461
"45725",2016,"GA","Total Electric Power Industry","Total",133380416
"45726",2016,"GA","Total Electric Power Industry","Coal",37890474
"45728",2016,"GA","Total Electric Power Industry","Hydro",3372677
"45729",2016,"GA","Total Electric Power Industry","Natural Gas",52862464
"45730",2016,"GA","Total Electric Power Industry","Nuclear",34480662
"45732",2016,"GA","Total Electric Power Industry","Petroleum",211845
"45733",2016,"GA","Total Electric Power Industry","Solar",880923
"45735",2016,"GA","Total Electric Power Industry","Wood",4302529
"45736",2016,"GA","Combined Heat and Power, Industrial Power","Total",4753735
"45737",2016,"GA","Combined Heat and Power, Industrial Power","Coal",216068
"45738",2016,"GA","Combined Heat and Power, Industrial Power","Hydro",15551
"45739",2016,"GA","Combined Heat and Power, Industrial Power","Natural Gas",442521
"45741",2016,"GA","Combined Heat and Power, Industrial Power","Petroleum",126884
"45743",2016,"GA","Combined Heat and Power, Industrial Power","Wood",3776841
"45744",2016,"GA","Combined Heat and Power, Commercial Power","Total",7823
"45745",2016,"GA","Combined Heat and Power, Commercial Power","Natural Gas",0
"45746",2016,"GA","Combined Heat and Power, Commercial Power","Petroleum",1687
"45747",2016,"GA","Combined Heat and Power, Commercial Power","Solar",2918
"45749",2016,"GA","Combined Heat and Power, Electric Power","Total",493966
"45750",2016,"GA","Combined Heat and Power, Electric Power","Natural Gas",478516
"45751",2016,"GA","Combined Heat and Power, Electric Power","Petroleum",4862
"45753",2016,"GA","Electric Generators, Independent Power Producers","Total",12169799
"45754",2016,"GA","Electric Generators, Independent Power Producers","Hydro",7352
"45755",2016,"GA","Electric Generators, Independent Power Producers","Natural Gas",10664891
"45756",2016,"GA","Electric Generators, Independent Power Producers","Petroleum",18759
"45757",2016,"GA","Electric Generators, Independent Power Producers","Solar",770845
"45759",2016,"GA","Electric Generators, Independent Power Producers","Wood",525688
"45760",2016,"GA","Electric Generators, Electric Utilities","Total",115955092
"45761",2016,"GA","Electric Generators, Electric Utilities","Coal",37674406
"45763",2016,"GA","Electric Generators, Electric Utilities","Hydro",3349774
"45764",2016,"GA","Electric Generators, Electric Utilities","Natural Gas",41276536
"45765",2016,"GA","Electric Generators, Electric Utilities","Nuclear",34480662
"45767",2016,"GA","Electric Generators, Electric Utilities","Petroleum",59654
"45768",2016,"GA","Electric Generators, Electric Utilities","Solar",107160
"45769",2016,"HI","Total Electric Power Industry","Total",9948845
"45770",2016,"HI","Total Electric Power Industry","Coal",1497380
"45771",2016,"HI","Total Electric Power Industry","Geothermal",260102
"45772",2016,"HI","Total Electric Power Industry","Hydro",90849
"45775",2016,"HI","Total Electric Power Industry","Petroleum",6640316
"45776",2016,"HI","Total Electric Power Industry","Solar",88511
"45778",2016,"HI","Total Electric Power Industry","Wind",639127
"45779",2016,"HI","Combined Heat and Power, Industrial Power","Total",354539
"45780",2016,"HI","Combined Heat and Power, Industrial Power","Coal",5526
